Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Urban,Semiurban,Rural,Loan_Status
LP002683,0,1,0,1,1,4683,1915,185,360,1,0,1,0,0
LP002684,1,1,0,0,1,3400,0,95,360,1,0,0,1,0
LP002689,0,1,2,0,1,2192,1742,45,360,1,0,1,0,1
LP002690,0,1,0,1,1,2500,0,55,360,1,0,1,0,1
LP002692,0,1,3.5,1,1,5677,1424,100,360,1,0,0,1,1
LP002693,0,1,2,1,1,7948,7166,480,360,1,0,0,1,1
LP002697,0,1,0,1,1,4680,2087,,360,1,0,1,0,0
LP002699,0,1,2,1,1,17500,0,400,360,1,0,0,1,1
LP002705,0,1,0,1,1,3775,0,110,360,1,0,1,0,1
LP002706,0,1,1,0,1,5285,1430,161,360,0,0,1,0,1
LP002714,0,1,1,0,1,2679,1302,94,360,1,0,1,0,1
LP002716,0,1,0,0,1,6783,0,130,360,1,0,1,0,1
LP002717,0,1,0,1,1,1025,5500,216,360,,0,0,1,1
LP002720,0,1,3.5,1,1,4281,0,100,360,1,1,0,0,1
LP002723,0,1,2,1,1,3588,0,110,360,0,0,0,1,0
LP002729,0,1,1,1,1,11250,0,196,360,,0,1,0,0
LP002731,1,1,0,0,1,18165,0,125,360,1,1,0,0,1
LP002732,0,1,0,0,,2550,2042,126,360,1,0,0,1,1
LP002734,0,1,0,1,1,6133,3906,324,360,1,1,0,0,1
LP002738,0,1,2,1,1,3617,0,107,360,1,0,1,0,1
LP002739,0,1,0,0,1,2917,536,66,360,1,0,0,1,0
LP002740,0,1,3.5,1,1,6417,0,157,180,1,0,0,1,1
LP002741,1,1,1,1,1,4608,2845,140,180,1,0,1,0,1
LP002743,1,1,0,1,1,2138,0,99,360,0,0,1,0,0
LP002753,1,1,1,1,,3652,0,95,360,1,0,1,0,1
LP002755,0,1,1,0,1,2239,2524,128,360,1,1,0,0,1
LP002757,1,1,0,0,1,3017,663,102,360,,0,1,0,1
LP002767,0,1,0,1,1,2768,1950,155,360,1,0,0,1,1
LP002768,0,1,0,0,1,3358,0,80,36,1,0,1,0,0
LP002772,0,1,0,1,1,2526,1783,145,360,1,0,0,1,1
LP002776,1,1,0,1,1,5000,0,103,360,0,0,1,0,0
LP002777,0,1,0,1,1,2785,2016,110,360,1,0,0,1,1
LP002778,0,1,2,1,1,6633,0,,360,0,0,0,1,0
LP002784,0,1,1,0,1,2492,2375,,360,1,0,0,1,1
LP002785,0,1,1,1,1,3333,3250,158,360,1,1,0,0,1
LP002788,0,1,0,0,1,2454,2333,181,360,0,1,0,0,0
LP002789,0,1,0,1,1,3593,4266,132,180,0,0,0,1,0
LP002792,0,1,1,1,1,5468,1032,26,360,1,0,1,0,1
LP002794,1,1,0,1,1,2667,1625,84,360,,1,0,0,1
LP002795,0,1,3.5,1,1,10139,0,260,360,1,0,1,0,1
LP002798,0,1,0,1,1,3887,2669,162,360,1,0,1,0,1
LP002804,1,1,0,1,1,4180,2306,182,360,1,0,1,0,1
LP002807,0,1,2,0,1,3675,242,108,360,1,0,1,0,1
LP002813,1,1,1,1,1,19484,0,600,360,1,0,1,0,1
LP002820,0,1,0,1,1,5923,2054,211,360,1,0,0,1,1
LP002821,0,1,0,0,1,5800,0,132,360,1,0,1,0,1
LP002832,0,1,2,1,1,8799,0,258,360,0,1,0,0,0
LP002833,0,1,0,0,1,4467,0,120,360,,0,0,1,1
LP002836,0,1,0,1,1,3333,0,70,360,1,1,0,0,1
LP002837,0,1,3.5,1,1,3400,2500,123,360,0,0,0,1,0
LP002840,1,1,0,1,1,2378,0,9,360,1,1,0,0,0
LP002841,0,1,0,1,1,3166,2064,104,360,0,1,0,0,0
LP002842,0,1,1,1,1,3417,1750,186,360,1,1,0,0,1
LP002847,0,1,,1,1,5116,1451,165,360,0,1,0,0,0
LP002855,0,1,2,1,1,16666,0,275,360,1,1,0,0,1
LP002862,0,1,2,0,1,6125,1625,187,480,1,0,1,0,0
LP002863,0,1,3.5,1,1,6406,0,150,360,1,0,1,0,0
LP002868,0,1,2,1,1,3159,461,108,84,1,1,0,0,1
LP002872,,1,0,1,1,3087,2210,136,360,0,0,1,0,0
LP002874,0,1,0,1,1,3229,2739,110,360,1,1,0,0,1
LP002877,0,1,1,1,1,1782,2232,107,360,1,0,0,1,1
LP002888,0,1,0,1,,3182,2917,161,360,1,1,0,0,1
LP002892,0,1,2,1,1,6540,0,205,360,1,0,1,0,1
LP002893,0,1,0,1,1,1836,33837,90,360,1,1,0,0,0
LP002894,1,1,0,1,1,3166,0,36,360,1,0,1,0,1
LP002898,0,1,1,1,1,1880,0,61,360,,0,0,1,0
LP002911,0,1,1,1,1,2787,1917,146,360,0,0,0,1,0
LP002912,0,1,1,1,1,4283,3000,172,84,1,0,0,1,0
LP002916,0,1,0,1,1,2297,1522,104,360,1,1,0,0,1
LP002917,1,1,0,0,1,2165,0,70,360,1,0,1,0,1
LP002925,,1,0,1,1,4750,0,94,360,1,0,1,0,1
LP002926,0,1,2,1,1,2726,0,106,360,0,0,1,0,0
LP002928,0,1,0,1,1,3000,3416,56,180,1,0,1,0,1
LP002931,0,1,2,1,1,6000,0,205,240,1,0,1,0,0
LP002933,,1,3.5,1,1,9357,0,292,360,1,0,1,0,1
LP002936,0,1,0,1,1,3859,3300,142,180,1,0,0,1,1
LP002938,0,1,0,1,1,16120,0,260,360,1,1,0,0,1
LP002940,0,1,0,0,1,3833,0,110,360,1,0,0,1,1
LP002941,0,1,2,0,1,6383,1000,187,360,1,0,0,1,0
LP002943,0,1,,1,1,2987,0,88,360,0,0,1,0,0
LP002945,0,1,0,1,1,9963,0,180,360,1,0,0,1,1
LP002948,0,1,2,1,1,5780,0,192,360,1,1,0,0,1
LP002949,1,1,3.5,1,,416,41667,350,180,,1,0,0,0
LP002950,0,1,0,0,,2894,2792,155,360,1,0,0,1,1
LP002953,0,1,3.5,1,1,5703,0,128,360,1,1,0,0,1
LP002958,0,1,0,1,1,3676,4301,172,360,1,0,0,1,1
LP002959,1,1,1,1,1,12000,0,496,360,1,0,1,0,1
LP002960,0,1,0,0,1,2400,3800,,180,1,1,0,0,0
LP002961,0,1,1,1,1,3400,2500,173,360,1,0,1,0,1
LP002964,0,1,2,0,1,3987,1411,157,360,1,0,0,1,1
LP002974,0,1,0,1,1,3232,1950,108,360,1,0,0,1,1
LP002978,1,1,0,1,1,2900,0,71,360,1,0,0,1,1
LP002979,0,1,3.5,1,1,4106,0,40,180,1,0,0,1,1
LP002983,0,1,1,1,1,8072,240,253,360,1,1,0,0,1
LP002984,0,1,2,1,1,7583,0,187,360,1,1,0,0,1
LP002990,1,1,0,1,1,4583,0,133,360,0,0,1,0,0
